railroad,symbol,yard,kind,block,next_train,members,resolved,yard_ids,unresolved
BNSF,RICCHI6-##A,Clovis,at,Belen,,Albuquerque Autoracks,id:1032 class:auto,1040,
BNSF,RICCHI6-##A,Clovis,at,Clovis,,"Denver and Texas BNSF Autroacks, grouped by destination",,1040,Denver and Texas BNSF Autroacks
BNSF,RICCHI6-##A,Clovis,at,Clovis IM,,grouped by destination,,1040,
BNSF,RICCHI6-##A,Clovis,at,Chicago Corwith IM,,,id:1072 class:im,1040,
BNSF,ALTPTL9-##A,Spokane Yardley,at,Renton Boeing Cars,,pick uped at Pueblo,,1742,pick uped at Pueblo
BNSF,ALTPTL9-##A,Spokane Yardley,at,Denver Rennicks IM,,,id:1981 class:im,1742,
BNSF,ALTPTL9-##A,Spokane Yardley,at,Spokane Yardely IM,,,class:im,1742,Spokane Yardely
BNSF,ALTPTL9-##A,Spokane Yardley,at,South Seattle IM,,,id:1628 class:im,1742,
BNSF,ALTPTL9-##A,Spokane Yardley,at,Portland Lake IM,,,id:1868 class:im,1742,
BNSF,PEALAC1-##C,Clovis,at,Clovis Autoracks,,,id:1040 class:auto,1040,
BNSF,PEALAC1-##C,Clovis,at,Clovis IM,,,id:1040 class:im,1040,
BNSF,FTMCXO1-##A,1809,at,"South Kearney, NJ",,3294,id:3294,,
BNSF,FTMCXO1-##A,1809,at,"W. Springfield, MA",,1002,id:1002,,
BNSF,FTMCXO1-##A,1809,at,"Syracuse DeWitt, NY",,1625,id:1625,,
BNSF,ALTCHI1-##A,Kansas City Argentine Yard,at,Logistics Park Chicago,,,id:1505,1620,
BNSF,ALTCHI1-##A,Kansas City Argentine Yard,at,Chicago Corwith,,,id:1072,1620,
BNSF,CXOLAC1-##A,Kansas City Argentine Yard,at,Clovis,,non-Hobart or San Bernardino,,1620,non-Hobart or San Bernardino
BNSF,CXOLAC1-##A,Kansas City Argentine Yard,at,San Bernardino,,,id:1102,1620,
BNSF,CXOLAC1-##A,Kansas City Argentine Yard,at,Los Angeles Hobart,,,id:1007,1620,
BNSF,LACNWH6-##A,Belen,at,Fort Madison,,NS connections,,1135,
BNSF,NWHLAC6-##A,Kansas City Argentine Yard,at,Logistics Park Kansas City IM,,,id:2454 class:im,1620,
BNSF,NWHLAC6-##A,Kansas City Argentine Yard,at,Clovis,,SoCal Ports,,1620,SoCal Ports
BNSF,NWHLAC6-##A,Kansas City Argentine Yard,at,Clovis,,LA Pier 400,id:1152 id:3100,1620,
BNSF,NWHLAC6-##A,Kansas City Argentine Yard,at,Logistics Park Chicago Empty IM,,,id:1505 class:im class:empty,1620,
BNSF,NWHLAC6-##A,Kansas City Argentine Yard,at,Los Angeles Hobart,,,id:1007,1620,
BNSF,PEAALT6-##A,Temple,at,Loaded Autoracks,,grouped by destination: Big Lift and Richmond,,2330|3741,
BNSF,PEAALT6-##A,Temple,at,Alliance IM,,,id:1356 class:im,2330|3741,
BNSF,SBDALT6-##V1,San Bernardino,leaving,Alliance/Pearland Loaded Autoracks,,grouped by destination,,1102,
BNSF,SBDALT6-##V1,San Bernardino,leaving,Clovis,,leftover domestic traffic that needs to be forwarded,,1102,
BNSF,SBDALT6-##V1,San Bernardino,leaving,Alliance IM,,,id:1356 class:im,1102,
BNSF,SBDALT6-##V1,San Bernardino,leaving,Pearland IM,,,id:1358 class:im,1102,
BNSF,NWHSSE1-##A,Chicago Cicero Yard,at,South Seattle,,,id:1628,1470,
BNSF,SBDKCK6-##L1,San Bernardino,leaving,Clovis,,leftover domestic traffic that needs to be forwarded to BNSF terminals,,1102,
BNSF,SBDKCK6-##L1,San Bernardino,leaving,Logistics Park Kansas City,,,id:2454,1102,
BNSF,SBDLPC6-##K1,San Bernardino,leaving,Clovis,,leftover domestic traffic that needs to be forwarded to BNSF terminals,,1102,
BNSF,SBDLPC6-##K1,San Bernardino,leaving,Logistics Park Chicago,,,id:1505,1102,
BNSF,SBDNSA6-##C1,San Bernardino,leaving,Clovis,,leftover domestic traffic that needs to be forwarded to BNSF terminals,,1102,
BNSF,SBDNSA6-##C1,San Bernardino,leaving,NS interchange traffic for Ashland Ave.,,,,1102,NS interchange traffic for Ashland Ave
BNSF,SBDWSP6-##L1,San Bernardino,leaving,Willow Springs UPS traffic,,,,1102,Willow Springs UPS traffic
BNSF,CLOSBD6-##A,Belen,at,Belen Autos,,"Albuquerque, El Mirage",id:1032 id:1686,1135,
BNSF,CLOSBD6-##A,Belen,at,San Bernardino Loaded Autoracks,,,id:1102 class:auto class:loaded,1135,
BNSF,CLOSBD6-##A,Belen,at,San Bernardino IM,,,id:1102 class:im,1135,
BNSF,DENSBD6-##A1,Belen,at,SBD Domestic Wells,,,,1135,SBD Domestic Wells
BNSF,DENSBD6-##A1,Belen,at,SBD Baretables,,,,1135,SBD Baretables
BNSF,CHCSSE2-##V,Mandan,at,Mandan,V-MANPTS,NW Autoracks; grouped by destination,class:auto,1584,NW Autoracks; grouped by destination
BNSF,CHCSSE2-##V,Mandan,at,Spokane IM,,,id:1741 id:1742 id:1743 id:1876 id:2202 id:2212 id:3179 id:3646 class:im,1584,
BNSF,CHCSSE2-##V,Mandan,at,South Seattle IM,,,id:1628 class:im,1584,
BNSF,CHCSSE1-##A3,Pasco,at,Spokane Yardley,,,id:1742,1573,
BNSF,CHCSSE1-##A3,Pasco,at,South Seattle,,,id:1628,1573,
BNSF,CHCSSE1-##A3,Pasco,at,Minot Gavin International Wells,,,,1573,Minot Gavin International Wells
BNSF,CHCSSE1-##A2,1470,at,Spokane Yardley,,,id:1742,,
BNSF,CHCSSE1-##A2,1470,at,South Seattle,,,id:1628,,
BNSF,CHCSSE1-##A2,1470,at,Minot Gavin International Wells,,,,,Minot Gavin International Wells
BNSF,CHCDEN1-##A,Denver 38th St. Yard,at,Denver Big Lift Loaded Autoracks,V-DENDEN,,id:2407 class:auto class:loaded,1800,
BNSF,CHCDEN1-##A,Denver 38th St. Yard,at,Omaha Gibson Loaded Autoracks,,,id:2203 class:auto class:loaded,1800,
BNSF,CHCDEN1-##A,Denver 38th St. Yard,at,Omaha IM,,,id:2203 class:im,1800,
BNSF,CHCDEN1-##A,Denver 38th St. Yard,at,Denver Rennicks IM,,,id:1981 class:im,1800,
BNSF,CHCCHI6-##X,1470,at,Corwith Loads,,,id:1072 class:loaded,,
BNSF,CHCCHI6-##X,1470,at,LA Hobart Loads,,from STP trains,,,from STP trains
BNSF,NYCLAC6-##L3,Belen,at,LA Hobart,,,id:1007,1135,
BNSF,NYCLAC6-##L3,Belen,at,Logistics Park KC,,,id:2454,1135,
BNSF,SPOSTP6-##U,Minot Gavin Yard,at,St. Paul Intermodal,,,id:1176 id:1183 id:1391 id:1491 id:1540 id:1661 id:3271 id:3444 id:3445 id:3446,1582,
BNSF,SPOSTP6-##U,Minot Gavin Yard,at,Chicago Cicero,,if needed,,1582,
BNSF,SPOALT6-##F,Denver 38th St. Yard,at,Denver Rennicks,,,id:1981,1800,
BNSF,SPOALT6-##F,Denver 38th St. Yard,at,Alliance,,,id:1356,1800,
BNSF,STPCHC6-##U,1491,at,Chicago Cicero,,,id:1470,,
BNSF,STPCHC6-##U,1491,at,LA Hobart,Q-CHCCHI6,,id:1007,,
BNSF,CHCSTP1-##A,St. Paul Dayton's Bluff Yard,at,Dayton's Bluff Autoracks,,,id:1183 class:auto,1183,
BNSF,CHCSTP1-##A,St. Paul Dayton's Bluff Yard,at,St. Paul Intermodal,,,id:1176 id:1183 id:1391 id:1491 id:1540 id:1661 id:3271 id:3444 id:3445 id:3446,1183,
BNSF,CHCPTL1-##A,Minot Gavin Yard,at,Portland Lake,,,id:1868,1582,
BNSF,CHCPTL1-##M,Mandan,at,Mandan,V-MANPTL,NW Autoracks; grouped by destination,class:auto,1584,NW Autoracks; grouped by destination
BNSF,CHCPTL1-##M,Mandan,at,Portland Lake IM,,,id:1868 class:im,1584,
BNSF,CHIALT6-##V,Kansas City Argentine Yard,at,Alliance Autoracks,,,id:1356 class:auto,1620,
BNSF,CHIALT6-##V,Kansas City Argentine Yard,at,Alliance IM,,,id:1356 class:im,1620,
BNSF,CHIALT6-##V,Kansas City Argentine Yard,at,Empty Autoracks,,grouped by destination,,1620,
BNSF,CHICHC6-##A,1072,at,Chicago Cicero Loads,,,id:1470 class:loaded,,
BNSF,CHICHC6-##A,1072,at,St. Paul Loads,,mainly from CA,,,mainly from CA
BNSF,CHICHC6-##A,1072,at,Other Connection Loads,,grouped by destination; typically from other railroads,,,
BNSF,CHICHC6-##A,1072,at,Chicago Cicero Empties,,,id:1470 class:empty,,
BNSF,CHIBAR6-##L,Logistics Park Kansas City,at,Logistics Park Kansas City IM,,,id:2454 class:im,2454,
BNSF,CHIBAR6-##L,Logistics Park Kansas City,at,Barstow Containers,,,,2454,Barstow Containers
BNSF,CHIPHX6-##V1,Glendale,at,El Mirage Loaded Autoracks,,,id:1686 class:auto class:loaded,1685,
BNSF,CHIPHX6-##V1,Glendale,at,Glendale Domestic,,,,1685,Glendale Domestic
BNSF,CHIPHX6-##V1,Glendale,at,Albuquerque Loaded Autoracks,,,id:1032 class:auto class:loaded,1685,
BNSF,CHIPHX6-##V1,Glendale,at,Albuquerque Domestic,,,,1685,Albuquerque Domestic
BNSF,CHILAC6-##L,Logistics Park Kansas City,at,Logistics Park Kansas City,,,id:2454,2454,
BNSF,CHILAC6-##L,Logistics Park Kansas City,at,Clovis,,grouped by destination,,2454,
BNSF,CHILAC6-##L,Logistics Park Kansas City,at,Los Angeles Hobart,,,id:1007,2454,
BNSF,CHILAC6-##L8,Clovis,at,LA Hobart Domestic,,,,1040,LA Hobart Domestic
BNSF,CHILAC6-##L8,Clovis,at,Clovis Domestic fill,,,,1040,Clovis Domestic fill
BNSF,CHILAC7-##L8,Clovis,at,LA Hobart Domestic,,,,1040,LA Hobart Domestic
BNSF,CHILAC7-##L8,Clovis,at,LA Hobart International,,,,1040,LA Hobart International
BNSF,CHILAC7-##L8,Clovis,at,Clovis Domestic fill,,,,1040,Clovis Domestic fill
BNSF,CHISTO6-##L1,Fort Madison,at,Mariposa,,,id:1313,1809,
BNSF,CHISSE1-##A1,1072,at,Spokane Yardley,,,id:1742,,
BNSF,CHISSE1-##A1,1072,at,South Seattle,,,id:1628,,
BNSF,CHISSE1-##A1,1072,at,Minot Gavin International Wells,,,,,Minot Gavin International Wells
BNSF,BARNSA1-##A,Belen,at,Fort Madison,,"CSX destinations in order: Columbus Van Yard, Cincinnati Queensgate, Cleveland Collingwood, Detroit Livernois CSX",id:1455 id:2097,1135,CSX destinations in order: Columbus Van Yard; Cleveland Collingwood
BNSF,BARNSA1-##A,Belen,at,Chicago Ashland,,"Rutherford Yard, Jersey City Croxton",id:1385 id:1108,1135,
BNSF,BARCHI1-##A,Belen,at,Clovis,,"grouped by destination: Denver Rennicks, Logistics Park Kansas City, Memphis, Alliance, Pearland",id:2454 id:1165 id:1172 id:1435 id:1445 id:1446 id:1449 id:1450 id:1921 id:1923 id:1983 id:2076 id:2915 id:1356 id:1358,1135,
BNSF,BARCHI1-##A,Belen,at,Chicago Corwith,,,id:1072,1135,
BNSF,BELCHI6-##A,Clovis,at,Logistics Park Chicago Autoracks,,Pick Uped at Clovis,,1040,Pick Uped at Clovis
BNSF,BELCHI6-##A,Clovis,at,Logistics Park Chicago IM,,,id:1505 class:im,1040,
BNSF,BELCHI6-##A,Clovis,at,Corwith IM,,,id:1072 class:im,1040,
BNSF,BELCHI6-##A,Clovis,at,Logistics Park KC IM,,on rear for easier drop,,1040,on rear for easier drop
BNSF,SSEALT6-##A,Missoula,at,Denver Rennicks,,transfer from 38th,,1989,transfer from 38th
BNSF,SSEALT6-##A,Missoula,at,Alliance,,,id:1356,1989,
BNSF,PTLALT6-##F3,South Seattle Yard,at,Denver Rennicks Domestic,,,,1628,Denver Rennicks Domestic
BNSF,PTLALT6-##F3,South Seattle Yard,at,Denver Rennicks International,,,,1628,Denver Rennicks International
BNSF,PTLALT6-##F3,South Seattle Yard,at,Alliance Domestic,,,,1628,Alliance Domestic
BNSF,PTLALT6-##F3,South Seattle Yard,at,Alliance International,,,,1628,Alliance International
BNSF,PTLALT6-##F3,South Seattle Yard,at,Pearland,,,id:1358,1628,
BNSF,PTLALT6-##G1,South Seattle Yard,at,Denver Rennicks Domestic,,,,1628,Denver Rennicks Domestic
BNSF,PTLALT6-##G1,South Seattle Yard,at,Denver Rennicks International,,,,1628,Denver Rennicks International
BNSF,PTLALT6-##G1,South Seattle Yard,at,Alliance Domestic,,,,1628,Alliance Domestic
BNSF,PTLALT6-##G1,South Seattle Yard,at,Alliance International,,,,1628,Alliance International
BNSF,PTLALT6-##G1,South Seattle Yard,at,Pearland,,,id:1358,1628,
BNSF,LPCLAC6-##K1,Clovis,at,LA Hobart Domestic Wells,,,,1040,LA Hobart Domestic Wells
BNSF,LPCLAC6-##K1,Clovis,at,LA Hobart International Wells,,,,1040,LA Hobart International Wells
BNSF,LPCLAC6-##K1,Clovis,at,Clovis extras,,"any IM terminal west of Clovis, grouped by destination",class:im,1040,any IM terminal west of Clovis
BNSF,LPCSTO6-##L1,Clovis,at,Mariposa,,,id:1313,1040,
BNSF,CLOALT6-##A1,1040,at,Alliance Domestic Wells,,,,,Alliance Domestic Wells
BNSF,CLOALT6-##A1,1040,at,Alliance International Wells,,,,,Alliance International Wells
BNSF,CLOALT4-##P1,1040,at,Alliance Domestic Wells,,,,,Alliance Domestic Wells
BNSF,CLOALT8-##A1,1040,at,Alliance Loaded Autoracks,,,id:1356 class:auto class:loaded,,
BNSF,CLOALT8-##A1,1040,at,Alliance Domestic Wells,,,,,Alliance Domestic Wells
BNSF,CLOALT8-##A1,1040,at,Alliance International Wells,,,,,Alliance International Wells
BNSF,CLOLPC1-##A,Kansas City Argentine Yard,at,Loaded Logistics Park Chicago Autoracks,,,class:auto,1620,Loaded Logistics Park Chicago
BNSF,CLOLPC1-##A,Kansas City Argentine Yard,at,Logistics Park Chicago IM,,,id:1505 class:im,1620,
BNSF,CLOLPK1-##A,1040,at,Logisitics Park Kansas City IM,,,class:im,,Logisitics Park Kansas City
BNSF,CLOMEM1-##A,Springfield Yard,at,Memphis IM,,,id:1165 id:1172 id:1435 id:1445 id:1446 id:1449 id:1450 id:1921 id:1923 id:1983 id:2076 id:2915 class:im,2861|3621,
BNSF,CLOLAC1-##A,Barstow,at,San Bernardino Autoracks,,,id:1102 class:auto,1029,
BNSF,CLOLAC1-##A,Barstow,at,San Bernardino IM,,,id:1102 class:im,1029,
BNSF,CLOLAC1-##A,Barstow,at,Los Angeles Hobart IM,,,id:1007 class:im,1029,
BNSF,CLOLAC1-##A,Barstow,at,Barstow IM,,,id:1029 class:im,1029,
BNSF,CLOPEA1-##A,Temple,at,Pearland Autoracks,,,id:1358 class:auto,2330|3741,
BNSF,CLOPEA1-##A,Temple,at,Pearland IM,,,id:1358 class:im,2330|3741,
BNSF,CLORIC1-##A,Mariposa,at,Richmond Loaded Autoracks,,,id:3905 class:auto class:loaded,1313,
BNSF,CLORIC1-##A,Mariposa,at,Oakland IM,,,id:3767 class:im,1313,
BNSF,CLORIC1-##A,Mariposa,at,Mariposa IM,,,id:1313 class:im,1313,
BNSF,CLOSTL1-##A,Springfield Yard,at,Lindenwood IM,,,id:1736 class:im,2861|3621,
BNSF,FTMNSA1-##A,1809,at,NS Ashland Ave.,,grouped by destination,,,
BNSF,FTMSTP1-##A,St. Paul Dayton's Bluff Yard,at,Dayton's Bluff Autoracks,,,id:1183 class:auto,1183,
BNSF,FTMSTP1-##A,St. Paul Dayton's Bluff Yard,at,St. Paul Intermodal,,,id:1176 id:1183 id:1391 id:1491 id:1540 id:1661 id:3271 id:3444 id:3445 id:3446,1183,
BNSF,FTMCHC1-##A,1809,at,Chicago Cicero IM,,,id:1470 class:im,,
BNSF,FTMCHC1-##A,1809,at,St. Paul Intermodal IM,,if needed,,,
BNSF,FTMCHI1-##A,1809,at,Logistics Park Chicago IM,,,id:1505 class:im,,
BNSF,FTMCHI1-##A,1809,at,Willow Springs IM,,,id:1410 class:im,,
BNSF,FTMCHI1-##A,1809,at,Chicago Corwith IM,,,id:1072 class:im,,
BNSF,DENCHCI1-##A,Omaha Gibson Yard,at,Omaha IM,,,id:2203 class:im,2203,
BNSF,FTMNSL1-##A,1809,at,NS Landers,,grouped by destination,,,
BNSF,HOUALT1-##A,Temple,at,Alliance,,,id:1356,2330|3741,
BNSF,ALTHOU1-##A,1556,at,Houston Barbour's Cut,,,id:1812 id:2528 id:3780,,
BNSF,CHIPEA6-##B,West Quincy,at,Pearland Loaded Autoracks,,,id:1358 class:auto class:loaded,1901,
BNSF,CHIPEA6-##B,West Quincy,at,Pearland IM,,,id:1358 class:im,1901,
BNSF,PEACHI1-##A,Chicago Willow Springs Yard,at,Logistics Park Chicago Loaded Autoracks,,,id:1505 class:auto class:loaded,1410,
BNSF,PEACHI1-##A,Chicago Willow Springs Yard,at,Logistics Park Kansas City IM,,,id:2454 class:im,1410,
BNSF,PEACHI1-##A,Chicago Willow Springs Yard,at,Logistics Park Chicago IM,,,id:1505 class:im,1410,
BNSF,PEACHI1-##A,Chicago Willow Springs Yard,at,Willow Springs IM,,,id:1410 class:im,1410,
BNSF,PEACHI1-##A,Chicago Willow Springs Yard,at,Chicago Corwith IM,,,id:1072 class:im,1410,
BNSF,CHIPEA6-##A,Fort Madison,at,Pearland Loaded Autoracks,,,id:1358 class:auto class:loaded,1809,
BNSF,CHIPEA6-##A,Fort Madison,at,Pearland IM,,,id:1358 class:im,1809,
BNSF,EAPCHI6-##C,Alliance,at,Alliance IM,,,id:1356 class:im,1356|1556,
BNSF,EAPCHI6-##C,Alliance,at,Alliance Connecting IM,,,class:im,1356|1556,Alliance Connecting
BNSF,EAPCHI6-##C,Alliance,at,Chicago Corwith IM,,,id:1072 class:im,1356|1556,
BNSF,FTMLAC1-##A,Logistics Park Kansas City,at,Logistics Park Kansas City,,,id:2454,2454,
BNSF,FTMLAC1-##A,Logistics Park Kansas City,at,Clovis,,"Mariposa IM, Oakland IM",id:1313 class:im id:3767 class:im,2454,
BNSF,FTMLAC1-##A,Logistics Park Kansas City,at,Belen,,Albuquerque Abajo IM,id:1032 class:im,2454,
BNSF,FTMLAC1-##A,Logistics Park Kansas City,at,Gallup,Z-WINPHX2,Glendale IM,id:1685 class:im,2454,
BNSF,FTMLAC1-##A,Logistics Park Kansas City,at,Barstow IM,,,id:1029 class:im,2454,
BNSF,FTMLAC1-##A,Logistics Park Kansas City,at,San Bernardino IM,,no autoracks on this train,class:auto,2454,no autoracks on this train
BNSF,FTMLAC1-##A,Logistics Park Kansas City,at,Los Angeles Hobart IM,,,id:1007 class:im,2454,
BNSF,LACFTM1-##A,Logistics Park Kansas City,at,CSX,,Chicago 59th Ave Yard,,2454,Chicago 59th Ave Yard
BNSF,LACFTM1-##A,Logistics Park Kansas City,at,NSA,,Chicago Ashland Ave Yard,id:1614,2454,
BNSF,LACFTM1-##A,Logistics Park Kansas City,at,NSI,,Chicago Landers St. Yard,,2454,Chicago Landers St. Yard
BNSF,SSENWH1-##A,Minot Gavin Yard,at,"South Kearney, NJ",,3294,id:3294,1582,
BNSF,SSENWH1-##A,Minot Gavin Yard,at,"W. Springfield, MA",,1002,id:1002,1582,
BNSF,SSENWH1-##A,Minot Gavin Yard,at,"Syracuse DeWitt, NY",,1625,id:1625,1582,
BNSF,ATGMEM3-##A,1720,at,Los Angeles Hobart IM,,,id:1007 class:im,,
BNSF,ATGMEM3-##A,1720,at,Mariposa IM,,,id:1313 class:im,,
BNSF,ABQWSP9-##A,Clovis,at,Logistics Park Kansas City,,,id:2454,1040,
BNSF,ABQWSP9-##A,Clovis,at,Logistics Park Chicago,,,id:1505,1040,
BNSF,ABQWSP9-##A,Clovis,at,Willow Springs IM,,,id:1410 class:im,1040,
BNSF,ABQWSP9-##A,Clovis,at,Chicago Corwith,,Willow Springs forward to Corwith,,1040,Willow Springs forward to Corwith
BNSF,ALTSBD5-##A,Belen,at,Clovis,Glendale Z-CLOPHX,,id:1040,1135,
BNSF,ALTSBD5-##A,Belen,at,San Bernardino,,,id:1102,1135,
BNSF,LPKLAC6-##A,Clovis,at,San Bernardino,,,id:1102,1040,
BNSF,LPKLAC6-##A,Clovis,at,Los Angeles Hobart,,,id:1007,1040,
BNSF,LPKNBY6-##A,Clovis,at,Mariposa,,,id:1313,1040,
BNSF,LPKNBY6-##A,Clovis,at,North Bay,,,id:1419,1040,
BNSF,LPKWSP2-##U,Chicago Willow Springs Yard,at,Willow Springs,,,id:1410,1410,
BNSF,LACLPK6-##U,Clovis,at,Logistics Park Kansas City,,,id:2454,1040,
BNSF,LACMEM8-##A,Clovis,at,Memphis,,,id:1165 id:1172 id:1435 id:1445 id:1446 id:1449 id:1450 id:1921 id:1923 id:1983 id:2076 id:2915,1040,
BNSF,LACNYC1-##U,Clovis,at,Rutherford,,,id:1385,1040,
BNSF,LACNYC1-##U,Clovis,at,Jersey City Croxton,,,id:1108,1040,
BNSF,LACWSP1-##U,Clovis,at,Willow Springs,,,id:1410,1040,
BNSF,SBDALT4-##A,Belen,at,Alliance,,,id:1356,1135,
BNSF,SBDWSP1-##A,Belen,at,Willow Springs,,all UPS,,1135,all UPS
BNSF,ALTSTO2-##U,Belen,at,Mariposa,,,id:1313,1135,
BNSF,ALTSTO2-##U,Belen,at,North Bay,,,id:1419,1135,
BNSF,ALTWSP5-##A,Logistics Park Kansas City,at,Logistics Park Kansas City,,,id:2454,2454,
BNSF,ALTWSP5-##A,Logistics Park Kansas City,at,Willow Springs,,,id:1410,2454,
BNSF,CHISBD8-##A,Belen,at,Clovis,,grouped by destination,,1135,
BNSF,CHISBD8-##A,Belen,at,Gallup,Z-WINPHX/Glendale,,id:1252,1135,
BNSF,CHISBD8-##A,Belen,at,San Bernardino,,,id:1102,1135,
BNSF,SBDWSP4-##U,Logistics Park Kansas City,at,Logistics Park KC,,,id:2454,2454,
BNSF,SBDWSP4-##U,Logistics Park Kansas City,at,Willow Springs,,,id:1410,2454,
BNSF,LACCHI8-##A,Clovis,at,Logistics Park Kansas City,,,id:2454,1040,
BNSF,LACCHI8-##A,Clovis,at,Corwith Yard,,,id:1072,1040,
BNSF,SBDCHI7-##A,Belen,at,Corwith,,,id:1072,1135,
BNSF,ATGSBD6-##A,Belen,at,San Bernardino IM,,,id:1102 class:im,1135,
BNSF,ATGSBD6-##A,Belen,at,Los Angeles Hobart IM,,may or may not be included by CSX,,1135,may or may not be included by CSX
BNSF,SBDWSP8-##A,Belen,at,Clovis,,grouped by destination,,1135,
BNSF,SBDWSP8-##A,Belen,at,Logistics Park KC,,,id:2454,1135,
BNSF,SBDWSP8-##A,Belen,at,Willow Springs,,,id:1410,1135,
BNSF,ALTNBY9-##A,Belen,at,North Bay,,,id:1419,1135,
BNSF,LPKRIC5-##A,Clovis,at,North Bay,,,id:1419,1040,
BNSF,LPKRIC5-##A,Clovis,at,Oakland BNSF,,,id:2237,1040,
BNSF,SBDALT7-##P,Belen,at,Clovis/Pearland,Q-CLOPEA,,id:1040 id:1358,1135,
BNSF,SBDALT7-##P,Belen,at,Alliance,,,id:1356,1135,
BNSF,NBYWSP1-##A,Belen,at,Logistics Park Kansas City,,,id:2454,1135,
