agreement,side,region,states,anchors,confidence,source
UP-CSX 2009,UP,SW,"KS;OK;MO","Southwest: Topeka, Wichita, Kansas City, Tulsa, Oklahoma City",medium,pdf-up-shortline-csx-routing.pdf p1
UP-CSX 2009,UP,GC,"TX;NM;AZ;LA","Gulf Coast: Houston, Dallas, Ft Worth, San Antonio, Laredo, Brownsville, El Paso, Phoenix, Tucson, Nogales, Amarillo, Lubbock, Livonia",medium,pdf-up-shortline-csx-routing.pdf p1
UP-CSX 2009,UP,LAB,"CA","Los Angeles Basin: Los Angeles, Long Beach, Colton, Calexico",high,pdf-up-shortline-csx-routing.pdf p1
UP-CSX 2009,UP,Ozark,"AR;OK","Arkansas and western Oklahoma: N. Little Rock, Pine Bluff, Texarkana (legend)",high,pdf-up-shortline-csx-routing.pdf p1
NS-UP 2019,NS,A1,"NJ;DE;MD;DC;PA;VA","New York, Philadelphia, Baltimore, Washington DC, Norfolk; eastern Pennsylvania",low,pdf-up-shortline-ns-routing.pdf
NS-UP 2019,NS,A2,"NY;VT;MA;CT;PA;OH","Mechanicville, Schenectady, Binghamton, Buffalo, Conway, Pittsburgh, Harrisburg, Columbus, Bellevue",low,pdf-up-shortline-ns-routing.pdf
NS-UP 2019,NS,A3,"MI;OH;IN;IL","Detroit, Cleveland, Elkhart, Chicago (Landers), Proviso",medium,pdf-up-shortline-ns-routing.pdf
NS-UP 2019,NS,B1,"GA;FL;SC","Macon, Savannah, Jacksonville, Charleston, Miami",medium,pdf-up-shortline-ns-routing.pdf
NS-UP 2019,NS,B2,"TN;AL;KY","Sheffield, Chattanooga, Knoxville; northern Alabama",medium,pdf-up-shortline-ns-routing.pdf
NS-UP 2019,NS,B3,"MS;AL;LA","Birmingham, New Orleans",medium,pdf-up-shortline-ns-routing.pdf
NS-UP 2019,NS,C1,"IL;IN;KY;OH","Decatur, Streator, Salem, Louisville, Cincinnati, Danville",medium,pdf-up-shortline-ns-routing.pdf
NS-UP 2019,NS,C2,"MO;KS","Kansas City",high,pdf-up-shortline-ns-routing.pdf
NS-UP 2019,NS,C3,"IA","Des Moines",high,pdf-up-shortline-ns-routing.pdf
NS-UP 2019,NS,D1,"NC;VA","Linwood, Charlotte, Roanoke, Danville",medium,pdf-up-shortline-ns-routing.pdf
NS-UP 2019,NS,D2,"TN;VA","Kingsport, Knoxville (circled D2, east Tennessee)",low,pdf-up-shortline-ns-routing.pdf
NS-UP 2019,UP,PW,"MN;WI;IA;NE;SD;ND;IL","Proviso West: Proviso, Streator, Minneapolis/St. Paul, Duluth, Milwaukee, Omaha, Sidney",medium,pdf-up-shortline-ns-routing.pdf
NS-UP 2019,UP,NPW,"WA;OR;ID;MT;WY;UT;NV;CO;CA","North Platte West: North Platte, Cheyenne, Denver, Salt Lake City, Ogden, Pocatello, Hinkle, Portland, Seattle, Spokane, Reno, Roseville, Oakland, Fresno, Las Vegas",medium,pdf-up-shortline-ns-routing.pdf
NS-UP 2019,UP,LAB,"CA","Los Angeles Basin: Los Angeles, Long Beach, West Colton, Calexico",high,pdf-up-shortline-ns-routing.pdf
NS-UP 2019,UP,SW,"AZ;NM;TX;OK","Southwest: Phoenix, Tucson, Nogales, El Paso, Amarillo, Lubbock, Oklahoma City, Tulsa",medium,pdf-up-shortline-ns-routing.pdf
NS-UP 2019,UP,KS,"KS;MO","Kansas: Topeka, Wichita, Kansas City",medium,pdf-up-shortline-ns-routing.pdf
NS-UP 2019,UP,OZ,"AR;MO","Ozark: N. Little Rock, Pine Bluff, Memphis side, E. St. Louis side",low,pdf-up-shortline-ns-routing.pdf
NS-UP 2019,UP,NTX,"TX","North Texas: Dallas, Ft. Worth, Texarkana",medium,pdf-up-shortline-ns-routing.pdf
NS-UP 2019,UP,GC,"TX","Gulf Coast: Houston, San Antonio, Laredo, Eagle Pass, Brownsville",medium,pdf-up-shortline-ns-routing.pdf
NS-UP 2019,UP,LI,"LA","Livonia",high,pdf-up-shortline-ns-routing.pdf
