railroad,symbol,yard_id,yard,verb,block
BNSF,SEPLPC1-##A,1491,St. Paul Intermodal Facility,set out,St. Paul
BNSF,SEPOMA1-##A,1293,Lincoln Hobson Yard,set out,Fremont BNSF
BNSF,STPTAC1-##A5,2008,Seattle Stacy St. Yard,set out,Seattle
BNSF,STPTAC1-##K2,2008,Seattle Stacy St. Yard,set out,Seattle
BNSF,TACCHC1-##A1,1215,La Crosse BNSF Yard,set out,La Crosse
BNSF,TACCHC1-##B1,1215,La Crosse BNSF Yard,set out,La Crosse
BNSF,TACLPC1-##A1,1582,Minot Gavin Yard,set out,Minot
BNSF,TACLPC1-##A1,1491,St. Paul Intermodal Facility,set out,St. Paul
BNSF,TACLPC1-##E1,1582,Minot Gavin Yard,set out,Minot
BNSF,TACLPC1-##E1,1491,St. Paul Intermodal Facility,set out,St. Paul
BNSF,TACLPC1-##B1,1491,St. Paul Intermodal Facility,set out,St. Paul
BNSF,TACOMA1-##A1,1293,Lincoln Hobson Yard,set out,Fremont
BNSF,TACOMA1-##A1,1293,Lincoln Hobson Yard,set out,NE
BNSF,TACOMA1-##B1,1293,Lincoln Hobson Yard,set out,Fremont
BNSF,TACOMA1-##B1,1293,Lincoln Hobson Yard,set out,NE
BNSF,TACSTP1-##A1,1582,Minot Gavin Yard,set out,Minot
BNSF,TACSTP1-##B1,1582,Minot Gavin Yard,set out,Minot
BNSF,TCBCHC1-##A1,1215,La Crosse BNSF Yard,set out,La Crosse
BNSF,TCBCHC1-##B1,1215,La Crosse BNSF Yard,set out,La Crosse
BNSF,TCBLPC1-##A1,1582,Minot Gavin Yard,set out,Minot
BNSF,TCBLPC1-##A1,1491,St. Paul Intermodal Facility,set out,St. Paul
BNSF,TCBLPC1-##B1,1491,St. Paul Intermodal Facility,set out,St. Paul
BNSF,TCBLPC1-##E1,1582,Minot Gavin Yard,set out,Minot
BNSF,TCBLPC1-##E1,1491,St. Paul Intermodal Facility,set out,St. Paul
BNSF,TCECHC1-##A1,1215,La Crosse BNSF Yard,set out,La Crosse
BNSF,TCECHC1-##B1,1215,La Crosse BNSF Yard,set out,La Crosse
BNSF,TCELPC1-##A1,1582,Minot Gavin Yard,set out,Minot
BNSF,TCELPC1-##A1,1491,St. Paul Intermodal Facility,set out,St. Paul
BNSF,TCELPC1-##B1,1491,St. Paul Intermodal Facility,set out,St. Paul
BNSF,TCELPC1-##E1,1582,Minot Gavin Yard,set out,Minot
BNSF,TCELPC1-##E1,1491,St. Paul Intermodal Facility,set out,St. Paul
BNSF,TCPCHC1-##A1,1215,La Crosse BNSF Yard,set out,La Crosse
BNSF,TCPCHC1-##B1,1215,La Crosse BNSF Yard,set out,La Crosse
BNSF,TCPLPC1-##A1,1582,Minot Gavin Yard,set out,Minot
BNSF,TCPLPC1-##A1,1491,St. Paul Intermodal Facility,set out,St. Paul
BNSF,TCPLPC1-##B1,1491,St. Paul Intermodal Facility,set out,St. Paul
BNSF,TCPLPC1-##M2,1582,Minot Gavin Yard,set out,Minot
BNSF,TCPLPC1-##M2,1491,St. Paul Intermodal Facility,set out,St. Paul
BNSF,TCPSTP1-##B1,1582,Minot Gavin Yard,set out,Minot
BNSF,CHCTAC1-##H,2008,Seattle Stacy St. Yard,set out,Seattle
BNSF,CHISCO1-##V,1040,Clovis,pick up,in
BNSF,CLOSCO1-##A,1029,Barstow,set out,Barstow
BNSF,DENLAC1-##A,1040,Clovis,set out,Clovis
BNSF,LACLPC1-##L,1040,Clovis,set out,Clovis
BNSF,AMASCO1-##A,1040,Clovis,set out,Clovis; Pick Up SCO in
BNSF,AMADEN1-##A,3716,Dalhart BNSF,pick up,Pueblo
BNSF,AMADEN1-##A,3716,Dalhart BNSF,pick up,Denver in
BNSF,KCKDEN1-##A,3323,Pueblo BNSF,set out,Pueblo
BNSF,PASMIN1-##A,2884,Shelby,set out,Shelby; Pick Up in
BNSF,PASNTW1-##A,1584,Mandan,set out,Mandan; Pick Up in
BNSF,VAWFRS1-##A,4010,Klamath Falls Yard BNSF,set out,Klamath Falls. Pick up other
BNSF,VAWFRS1-##A,1071,Bend,set out,Bend Pick up other
BNSF,LAUDEN1-##A,1590,Greybull,set out,Greybull; Pick Up Cheyenne
BNSF,LAUDEN1-##A,1590,Greybull,set out,Denver in
BNSF,RICBAR1-##A,2023,Riverbank,set out,Riverbank
BNSF,RICBAR1-##A,1353,Stockton Mormon Yard,set out,Stockton
BNSF,SPOGAL1-##A,1582,Minot Gavin Yard,set out,Minot; Pick Up in
BNSF,SPOGAL1-##A,2884,Shelby,set out,Shelby; Pick Up in
BNSF,SPONTW1-##A,1582,Minot Gavin Yard,set out,Minot; Pick Up in
BNSF,SPONTW1-##A,2884,Shelby,set out,Shelby; Pick Up in
BNSF,CLODEN1-##A,3323,Pueblo BNSF,set out,Pueblo
BNSF,DILPAS1-##A,2884,Shelby,set out,Shelby; Pick Up Spokane
BNSF,DILPAS1-##A,2884,Shelby,set out,Pasco in
BNSF,DILPAS1-##A,1582,Minot Gavin Yard,set out,Minot; Pick Up Shelby
BNSF,DILPAS1-##A,1582,Minot Gavin Yard,set out,Spokane
BNSF,DILPAS1-##A,1582,Minot Gavin Yard,set out,Pasco in
BNSF,PASLIN1-##A,1742,Spokane Yardley Yard,pick up,if needed per
BNSF,PASKCK1-##A,1894,Laurel,set out,Laurel; Pick Up in
BNSF,MEMBAR1-##A,1040,Clovis,set out,Clovis Auto
BNSF,MEMBAR1-##A,2861,Springfield Yard,pick up,Clovis Autos
BNSF,MEMBAR1-##A,2861,Springfield Yard,pick up,Barstow Manifest in
BNSF,SUPPAS1-##A,1586,Dilworth,set out,Dilworth; Pick Up Laurel
BNSF,SUPPAS1-##A,1586,Dilworth,set out,Pasco in
BNSF,KCKBAR1-##A,1716,Amarillo South Yard BNSF,set out,Amarillo; Pick Up Barstow in
BNSF,PVORRB1-##A,1141,Sparks UP,set out,Sparks
BNSF,PVOKCK1-##A,1332,Grand Junction,set out,Grand Junction; Pick Up Pueblo
BNSF,PVOKCK1-##A,1332,Grand Junction,set out,Kansas City in
BNSF,BIRKCK1-##A,2877,Blue Springs,pick up,Kansas City Loads per
BNSF,LPCTAC4-##B,1293,Lincoln Hobson Yard,pick up,empty Autoracks from Omaha in
BNSF,BLUSBD1-##A,1620,Kansas City Argentine Yard,set out,Argentine; Pick Up in
BNSF,BLUSBD1-##A,1275,Emporia,set out,Emporia
BNSF,BLUSBD1-##A,1040,Clovis,set out,Clovis
BNSF,TACLPC1-##C,1183,St. Paul Dayton's Bluff Yard,set out,Dayton's Bluff; Pick Up Empties for Hammond in
BNSF,BIRLPC1-##A,2877,Blue Springs,pick up,Loads per
BNSF,FTMPEA1-##A,1275,Emporia,pick up,in
BNSF,KCKLPC1-##A,1809,Fort Madison,pick up,Autoracks in
BNSF,ABQSDG4-##A,1029,Barstow,set out,Barstow
BNSF,ABQBIR4-##A,1040,Clovis,set out,Clovis
BNSF,ABQBIR4-##A,1040,Clovis,pick up,in
BNSF,ABQKCK4-##A,1040,Clovis,pick up,in
BNSF,ABQMEM4-##A,1040,Clovis,set out,Clovis
BNSF,BGLPTS4-##A,1894,Laurel,pick up,Racks in
BNSF,BLURIC1-##A,1040,Clovis,set out,Clovis
BNSF,CLOBLU1-##A,1620,Kansas City Argentine Yard,set out,Kansas City; Pick Up Gibson by
BNSF,DENPTS4-##A,1894,Laurel,pick up,Autoracksacks in
BNSF,DENPVN4-##A,1894,Laurel,pick up,Racks in
BNSF,DENTAC4-##A,1742,Spokane Yardley Yard,pick up,Empty Autoracks in
BNSF,DENTAC4-##A,1894,Laurel,pick up,Empty Autoracks in
BNSF,DILBLU4-##A,1183,St. Paul Dayton's Bluff Yard,pick up,Empties in
BNSF,DILNSC4-##A,1183,St. Paul Dayton's Bluff Yard,pick up,Empty Autoracks in
BNSF,EAPGAL1-##A,3530,Saginaw BNSF,pick up,Loaded Autoracks in
BNSF,EMPPEA1-##A,1556,Alliance,set out,Alliance
BNSF,EMPSDG1-##A,1040,Clovis,pick up,Autoracks in
BNSF,KCKBLU1-##A,1505,Logistics Park Chicago,set out,Loads; Pick Up Empty Autoracks in
BNSF,KCKDIL3-##A,2100,Galesburg,pick up,Autoracks in
BNSF,KCKDIL3-##A,1901,West Quincy,pick up,Autoracks in
BNSF,KCKPTS1-##A,1293,Lincoln Hobson Yard,pick up,Autoracks from Omaha in
BNSF,KCKPTS1-##A,1894,Laurel,pick up,Racks in
BNSF,KCKTAC4-##A,1293,Lincoln Hobson Yard,pick up,empty Autoracks from Omaha in
BNSF,TACLPC1-##F,1620,Kansas City Argentine Yard,set out,Argentine; Pick Up Hammond Empty Autoracks in
BNSF,TACLPC1-##F,2407,Denver Big Lift,set out,Big Lift; Pick Up Hammond Empties Autoracks in
BNSF,TACLPC1-##F,1894,Laurel,pick up,Hammond Empty Autoracks in
BNSF,TACLPC1-##F,1742,Spokane Yardley Yard,pick up,Hammond Empty Autoracks in
BNSF,LPCPTS4-##E,1293,Lincoln Hobson Yard,pick up,Autoracks from Omaha in
BNSF,LPCPTS4-##E,1894,Laurel,pick up,Racks in
BNSF,MDOBIR4-##A,1904,Ft. Worth North Yard,pick up,Empties in
BNSF,MDOBIR4-##A,2200,Oklahoma City Flynn Yard,pick up,Empties in
BNSF,MDOBIR4-##A,1556,Alliance,pick up,Empties in
BNSF,PHXWAT4-##A,1102,San Bernardino,pick up,Autoracks in
BNSF,PHXWAT4-##A,1029,Barstow,pick up,Autoracks in
BNSF,PTSKCM4-##A,1894,Laurel,pick up,NS Empty Autoracks in
BNSF,PTSKCM4-##A,1742,Spokane Yardley Yard,pick up,NS Empty Autoracks in
BNSF,RICKCM4-##A,1040,Clovis,pick up,NS Empty Autoracks per
BNSF,RICMHY4-##A,1040,Clovis,pick up,NS Empty Autoracks by
BNSF,RICWAT4-##A,1102,San Bernardino,pick up,Empties per
BNSF,ROBBLU1-##A,1275,Emporia,set out,Emporia
BNSF,ROBBLU1-##A,1275,Emporia,pick up,Blue Island in
BNSF,SBDEAP4-##A,1040,Clovis,pick up,San Antonio
BNSF,SBDEAP4-##A,1040,Clovis,pick up,Mexico Eagle Pass in
BNSF,SBDMEM4-##A,2861,Springfield Yard BNSF,pick up,in
BNSF,SBDMEM4-##A,1040,Clovis,pick up,Smyrna
BNSF,SBDMEM4-##A,1040,Clovis,pick up,Spring Hill in
BNSF,SBDMHY4-##A,1040,Clovis,pick up,Empty NS Autoracks in
BNSF,SBDNWO4-##A,1040,Clovis,pick up,in
BNSF,SDGWQM3-##A,1040,Clovis,set out,Clovis; Pick Up in
BNSF,TACKCM4-##F,3300,Kent Orillia Yard,pick up,NS Empty Autoracks in
BNSF,TACKCM4-##F,1894,Laurel,pick up,NS Empty Autoracks in
BNSF,TACKCM4-##F,1742,Spokane Yardley Yard,pick up,NS Empty Autoracks in
BNSF,WELBEL1-##A,1040,Clovis,pick up,Mexico El Paso
BNSF,WELBEL1-##A,1040,Clovis,pick up,Albuquerque
BNSF,WELBEL1-##A,1040,Clovis,pick up,El Mirage in
BNSF,WQMBLU1-##A,2100,Galesburg,set out,NSI
BNSF,PTSBLU3-##A,1742,Spokane Yardley Yard,set out,Spokane Autoracks; Pick Up Hammond Autoracks in
BNSF,BLUBAR1,1620,Kansas City Argentine Yard,set out,Argentine; Pick Up in
BNSF,BLUBAR1,1275,Emporia,set out,Emporia
BNSF,BLUBAR1,1040,Clovis,set out,Clovis
BNSF,NWE7041-##I,1539,Auburn,set out,Auburn; Pick Up in
BNSF,ABEBRC1-##A,1810,Eola,set out,Eola
BNSF,COMBRC8-##A,1810,Eola,set out,Eola
BNSF,COMBRC8-##A,2100,Galesburg,set out,Galesburg
BNSF,AGMBRC8-##A,1810,Eola,set out,Eola
BNSF,ULEBRC8-##A,1810,Eola,set out,Eola
BNSF,ANDBRC8-##A,1810,Eola,set out,Eola
BNSF,NEWARK1-##A,2824,Wichita BNSF Yard,set out,Wichita
BNSF,ARKNEW1-##A,2824,Wichita BNSF Yard,set out,Wichita
BNSF,NYFNYF1-##A,1847,Ft. Worth Tower 55,pick up,UP-BNSF
BNSF,ABEKCK1-##A,1310,St. Joseph BNSF,set out,St. Joseph
BNSF,ABEKCK1-##A,1351,Sioux City BNSF,set out,Sioux City
BNSF,ARKKCK4-##A,2824,Wichita BNSF Yard,set out,Wichita; Pick Up Emporia
BNSF,ARKKCK4-##A,2824,Wichita BNSF Yard,set out,Kansas City in
BNSF,BIRKCK1-##A,2877,Blue Springs,pick up,Loaded Autoracks in
BNSF,BIRTUL1-##A,2877,Blue Springs,pick up,Autoracks in
BNSF,DENALN1-##A,1452,Brush,set out,Brush
BNSF,CSYNYF1-##A,2147,Teague,set out,UP Englewood
BNSF,DILBRC1-##A,1810,Eola,set out,Eola
BNSF,EOLNTW1-##A,1215,La Crosse BNSF Yard,set out,La Crosse
BNSF,EOLKCK1-##A,1901,West Quincy,set out,West Quincy
BNSF,EOLKCK1-##A,2100,Galesburg,set out,Galesburg
BNSF,EOLKCK1-##A,2100,Galesburg,pick up,West Quincy
BNSF,EOLKCK1-##A,2100,Galesburg,pick up,Argentine in
BNSF,EOLTUL1-##A,1901,West Quincy,set out,West Quincy
BNSF,EOLTUL1-##A,2100,Galesburg,set out,Galesburg
BNSF,EOLTUL1-##A,2100,Galesburg,pick up,Tulsa in
BNSF,EOLGFD1-##A,1586,Dilworth,set out,Dilworth
BNSF,EOLGFD1-##A,1593,Minneapolis Northtown Yard,set out,Northtown
BNSF,GALSTL1-##A,1901,West Quincy,set out,West Quincy
BNSF,GALTPL1-##A,1556,Alliance,set out,Alliance
BNSF,GALTPL1-##A,2200,Oklahoma City Flynn Yard,set out,Oklahoma City
BNSF,GALCHC1-##A,1810,Eola,set out,Eola
BNSF,GALCHC1-##A,1810,Eola,set out,NS
BNSF,HOULAL1-##A,1563,Westlake UP,set out,Westlake
BNSF,GFDBRC1-##A,1810,Eola,set out,Eola
BNSF,GFDBRC1-##A,1593,Minneapolis Northtown Yard,set out,Northtown; Pick Up Eola
BNSF,GFDBRC1-##A,1593,Minneapolis Northtown Yard,set out,Clearing in proper
BNSF,GFDBRC1-##A,1586,Dilworth,set out,Dilworth
BNSF,GFDGAL1-##A,1593,Minneapolis Northtown Yard,set out,Northtown
BNSF,GFDGAL1-##A,1586,Dilworth,set out,Dilworth
BNSF,LALHOU1-##A,1563,Westlake UP,set out,Westlake
BNSF,KCKBIR1-##A,2861,Springfield Yard,set out,Springfield; Pick Up Birmingham in
BNSF,DENLIN1-##A,1452,Brush,set out,Bruch
BNSF,FRSRIC1-##A,2023,Riverbank,set out,Riverbank; Pick Up in
BNSF,INBVBT1-##A,3973,Brownsville,set out,Brownsville
BNSF,INBVBT1-##A,3973,Brownsville,set out,Tilbury
BNSF,EMPEAP1-##A,3119,San Antonio Cadet Yard,set out,San Antonio
BNSF,GALTUL1-##A,1736,St. Louis Lindenwood Yard,set out,St. Louis; Pick Up per
BNSF,GALTUL1-##A,1901,West Quincy,set out,West Quincy; Pick Up per
BNSF,KCKTPL1-##A,1275,Emporia,pick up,Eagle Pass
BNSF,KCKTPL1-##A,1275,Emporia,pick up,San Antonio Autoracks in proper
BNSF,DYTGAL1-##A,2330,Temple,set out,Temple; Pick Up Outbound in
BNSF,MADTUL1-##A,1736,St. Louis Lindenwood Yard,pick up,Springfield
BNSF,MADTUL1-##A,1736,St. Louis Lindenwood Yard,pick up,Tulsa in
BNSF,NTWBRC1-##A,1810,Eola,set out,Eola
BNSF,NTWBRC1-##A,1810,Eola,pick up,Clearing
BNSF,NTWABE1-##A,1570,Willmar,set out,Willmar
BNSF,PASSEA1-##A,3335,Centralia BNSF,set out,Centralia; Pick Up Northbounds in
BNSF,PASVBT1-##A,1503,Tacoma BNSF Yard,set out,Tacoma; Pick Up in
BNSF,PASVBT1-##A,1155,Everett Delta Yard,set out,CP
BNSF,PASVBT1-##A,1155,Everett Delta Yard,set out,SRY
BNSF,STLLIN4-##A,2861,Springfield Yard,set out,Springfield
BNSF,STLLIN4-##A,2861,Springfield Yard,pick up,Lincoln
BNSF,VBCEVE1-##A,1511,Vancouver Fraser Surrey IMPEX,pick up,BNSF per
BNSF,VBTEVE1-##A,3973,Brownsville,pick up,BNSF per
BNSF,TULEAP4-##A,3119,San Antonio Cadet Yard,set out,Cadet
BNSF,CDTGAL1-##A,2330,Temple,set out,Temple; Pick Up Outboun in
BNSF,TULIRB1-##A,3995,Sherman BNSF,set out,Sherman
BNSF,MEMGAL1-##A,1736,St. Louis Lindenwood Yard,set out,Lindenwood; Pick Up West Quincy
BNSF,MEMGAL1-##A,1736,St. Louis Lindenwood Yard,set out,Galesburg in
BNSF,BIRGAL1-##A,2877,Blue Springs,pick up,in
BNSF,LAUNTW1-##A,1584,Mandan,set out,Mandan; Pick Up Dilworth
BNSF,LAUNTW1-##A,1584,Mandan,set out,Northtown in
BNSF,TULNTW1-##A,2861,Springfield Yard,pick up,Dayton's Bluff
BNSF,TULNTW1-##A,2861,Springfield Yard,pick up,Loaded Autoracks in
BNSF,TULNTW1-##A,1901,West Quincy,pick up,Dayton's Bluff
BNSF,TULNTW1-##A,1901,West Quincy,pick up,Loaded Autoracks in
BNSF,EVEABN1-##A,1702,Vancouver Yard,set out,Vancouver
BNSF,EVEABN1-##A,1503,Tacoma BNSF Yard,set out,Tacoma
BNSF,STLTUL1-##A,2861,Springfield Yard,set out,Springfield
BNSF,STLTUL1-##A,2861,Springfield Yard,set out,Kansas City
CN,41651-##,1512,Kamloops Junction,set out,Kamloops
CN,47351-##,1139,Taylor,set out,Taylor
CN,48971-##,1970,Jackson North Yard,set out,Jackson
CN,48971-##,1970,Jackson North Yard,set out,Jackson Intermodal
CN,48971-##,1970,Jackson North Yard,pick up,Memphis
CN,41751-##,1512,Kamloops Junction,set out,Kamloops
CN,41751-##,1512,Kamloops Junction,pick up,Vancouver
CN,41251-##,1512,Kamloops Junction,set out,Kamloops
CN,41141-##,3627,Lloydminster Aberfeldy Yard,set out,Lloydminster
CN,41141-##,2793,Vermilion,set out,Vermillion
CN,44251-##,3438,Calgary Logistics,set out,IM
CN,42071-##,1970,Jackson North Yard,pick up,Geismar
CN,41971-##,1970,Jackson North Yard,pick up,Memphis
CN,44791-##,1761,Neenah,set out,Neenah
CN,48871-##,1970,Jackson North Yard,set out,Jackson
CN,48871-##,1970,Jackson North Yard,pick up,Mobile
CN,48871-##,1970,Jackson North Yard,pick up,Mobile IM
CN,43171-##,3456,Fulton,set out,Fulton
CN,43171-##,2026,Effingham CN,set out,Effingham
CN,43291-##,2026,Effingham CN,set out,Effingham
CN,43291-##,3456,Fulton,set out,Fulton
CN,40541-##,1646,Saskatoon Chappell Yard,set out,Saskatoon
CN,40541-##,1596,Melville,set out,Melville
CN,40791-##,3628,Champaign,set out,Champaign
CN,40791-##,3628,Champaign,set out,Gilman
CN,40791-##,3647,Kankakee CN,set out,Kankakee
CN,40891-##,3647,Kankakee CN,set out,Kankakee
CN,40891-##,3682,Gilman CN,set out,Gilman
CN,40891-##,3628,Champaign,set out,Champaign
CN,40891-##,3628,Champaign,pick up,Effingham
CN,49131-##,3523,Flint CN Yard,set out,Flint
CN,49131-##,1731,Battle Creek CN Yard,set out,Battle Creek
CN,49291-##,1731,Battle Creek CN Yard,set out,Battle Creek
CN,49291-##,3523,Flint CN Yard,set out,Flint
CN,49081-##,3516,North Fond Du Lac Shops Yard,set out,Fond Du Lac
CN,41251-##,3627,Lloydminster Aberfeldy Yard,set out,Lloydminster
CN,41251-##,2793,Vermilion,set out,Vermillion
CN,40691-##,3456,Fulton,set out,Fulton
CN,40341-##,1596,Melville,set out,Melville
CN,40441-##,1646,Saskatoon Chappell Yard,set out,Saskatoon
CN,40441-##,1596,Melville,set out,Melville
CN,40251-##,1646,Saskatoon Chappell Yard,set out,Saskatoon
CN,50161-##,1731,Battle Creek CN Yard,pick up,Flint
CN,50161-##,1731,Battle Creek CN Yard,pick up,Flat Rock
CN,53361-##,1734,Detroit Moterm,set out,Detroit IM
CN,53361-##,1734,Detroit Moterm,set out,Lift Outbounds in
CN,57681-##,3048,Wisconsin Rapids CN,set out,outbound traffic from Taylor
CN,57681-##,3048,Wisconsin Rapids CN,set out,Lift Taylor
CN,57291-##,2897,Knierim,set out,Knierim
CN,57291-##,2897,Knierim,pick up,Council Bluffs
CN,55531-##,1864,Hamilton CN Yard,set out,Hamilton
CN,57191-##,2894,Fort Dodge CN,set out,Fort Dodge
CN,57191-##,2894,Fort Dodge CN,pick up,Tara
CN,57191-##,2894,Fort Dodge CN,pick up,Sioux City
CN,58361-##,1763,Toledo Lang Yard,set out,Flat Rock
CN,57791-##,2895,Tara CN,set out,Tara
CN,57791-##,2895,Tara CN,pick up,Fort Dodge
CN,57391-##,2897,Knierim,set out,Knierim
CN,57391-##,2897,Knierim,pick up,Fort Dodge
CN,56991-##,2895,Tara CN,set out,Tara
CN,56891-##,2895,Tara CN,pick up,Fort Dodge
CN,56891-##,2894,Fort Dodge CN,set out,Fort Dodge
CN,56891-##,2894,Fort Dodge CN,pick up,Waterloo
CN,58781-##,1761,Neenah,set out,Neenah
CN,58881-##,1761,Neenah,set out,Neenah
CN,51631-##,3874,Oshawa CN,set out,Oshawa
CN,50061-##,2215,Lansing Snow Yard,pick up,Flint
CN,50061-##,2215,Lansing Snow Yard,pick up,Flat Rock
CN,50061-##,1725,Durand,pick up,Flint
CN,50861-##,1734,Detroit Moterm,set out,Moterm IM
CN,35651-##,1646,Saskatoon Chappell Yard,set out,Saskatoon
CN,35651-##,1646,Saskatoon Chappell Yard,pick up,Winnipeg
CN,35651-##,1510,Edmonton Walker Yard,set out,Edmonton
CN,30451-##,1510,Edmonton Walker Yard,set out,Edmonton
CN,30451-##,1510,Edmonton Walker Yard,pick up,Winnipeg
CN,31051-##,1512,Kamloops Junction,pick up,Edmonton
CN,31251-##,1646,Saskatoon Chappell Yard,set out,Saskatoon
CN,31251-##,1646,Saskatoon Chappell Yard,pick up,Winnipeg
CN,32721-##,3887,Les Coteaux,set out,Les Coteaux
CN,35641-##,2474,Superior Pokegama Yard,pick up,Stevens Point
